[GIN] 2022/10/20 - 18:28:25 | 204 |            0s |    172.20.21.91 | OPTIONS  "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:28:25 | 200 |      1.1515ms |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:28:25 | 204 |            0s |    172.20.21.91 | OPTIONS  "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:28:25 | 200 |      1.7405ms |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:50:11 | 200 |     57.6162ms |    172.20.21.91 | POST     "/api/auth/login"
[GIN] 2022/10/20 - 18:50:25 | 200 |       762.9µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 18:50:27 | 200 |      1.5264ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 18:50:31 | 200 |       872.4µs |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:50:31 | 200 |       588.6µs |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:53:08 | 200 |     58.6474ms |    172.20.21.91 | POST     "/api/auth/login"
[GIN] 2022/10/20 - 18:53:19 | 200 |      1.0405ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 18:53:21 | 200 |      1.5656ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 18:53:23 | 200 |      1.7443ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 18:53:27 | 200 |         593µs |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:53:27 | 200 |      3.5579ms |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:53:27 | 200 |       974.7µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 18:53:51 | 200 |      1.9612ms |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:53:51 | 200 |      1.4974ms |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:53:56 | 200 |      1.8465ms |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:53:56 | 200 |      1.3747ms |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:54:01 | 200 |       708.4µs |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:54:01 | 200 |      1.1967ms |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:54:06 | 200 |       1.479ms |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
