[GIN] 2022/10/25 - 23:58:07 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:07 | 200 |      1.0582ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:19 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 23:58:19 | 200 |       664.2µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 23:58:19 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:19 | 200 |       633.1µs |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:22 | 200 |      1.2669ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 23:58:23 | 200 |      1.3939ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:29 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:29 | 200 |      1.2595ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:35 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:58:35 | 200 |      1.5659ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:59:36 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 23:59:36 | 200 |        1.54ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 23:59:36 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:59:36 | 200 |      2.1108ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:59:39 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 23:59:39 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 23:59:41 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:59:41 | 200 |       1.476ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:59:43 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 23:59:45 | 200 |      1.5518ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:59:46 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 23:59:46 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 00:00:37 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/26 - 00:00:37 | 200 |       634.8µs |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/26 - 00:00:39 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/26 - 00:00:39 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/26 - 00:00:41 | 200 |      52.107ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/26 - 00:00:41 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/26 - 00:00:41 | 200 |       948.1µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/26 - 00:00:41 | 200 |      1.6091ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/26 - 00:00:44 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/26 - 00:00:44 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/26 - 00:03:02 | 200 |     52.7592ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/26 - 00:03:02 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/26 - 00:03:02 | 200 |       598.8µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/26 - 00:03:02 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/26 - 00:03:02 | 200 |      1.2083ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/26 - 00:03:04 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/26 - 00:03:04 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/26 - 00:03:04 | 200 |      1.3824ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/26 - 00:03:04 | 200 |      1.2714ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/26 - 00:03:04 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/26 - 00:03:04 | 200 |      1.2299ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/26 - 00:03:04 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/26 - 00:03:04 | 200 |       999.9µs |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/26 - 00:03:06 | 200 |      1.0014ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/26 - 00:06:05 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/26 - 00:06:05 | 200 |       963.4µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/26 - 00:06:05 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/26 - 00:06:05 | 200 |       993.7µs |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/26 - 00:06:12 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 00:06:12 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 00:06:15 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 00:07:30 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 00:07:30 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 00:07:33 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/26 - 00:07:33 | 200 |      1.5279ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/26 - 00:07:35 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 00:08:14 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/26 - 00:08:14 | 200 |      1.6114ms |             ::1 | GET      "/api/auth/detail"
