[GIN] 2022/10/25 - 16:18:38 | 200 |      1.8522ms |             ::1 | GET      "/api/manager/alluser"
[GIN] 2022/10/25 - 16:18:39 | 200 |       2.118ms |             ::1 | GET      "/api/manager/alluser"
[GIN] 2022/10/25 - 16:18:41 | 200 |      1.7954ms |             ::1 | GET      "/api/manager/alluser"
[GIN] 2022/10/25 - 16:18:58 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/alluser"
[GIN] 2022/10/25 - 16:18:58 | 200 |      1.9228ms |             ::1 | GET      "/api/manager/alluser"
[GIN] 2022/10/25 - 16:19:06 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/alluser"
[GIN] 2022/10/25 - 16:19:06 | 200 |       1.029ms |             ::1 | GET      "/api/manager/alluser"
[GIN] 2022/10/25 - 16:19:08 | 200 |       856.8µs |             ::1 | GET      "/api/manager/alluser"
[GIN] 2022/10/25 - 16:19:54 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 16:19:54 | 200 |      1.3773ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 16:19:54 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/alluser"
[GIN] 2022/10/25 - 16:19:54 | 200 |      1.3081ms |             ::1 | GET      "/api/manager/alluser"
[GIN] 2022/10/25 - 16:20:00 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 16:20:00 | 200 |      1.0095ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 16:20:00 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/alluser"
[GIN] 2022/10/25 - 16:20:00 | 200 |      1.2021ms |             ::1 | GET      "/api/manager/alluser"
[GIN] 2022/10/25 - 16:20:34 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 16:20:34 | 200 |      1.1155ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 16:20:34 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/alluser"
[GIN] 2022/10/25 - 16:20:34 | 200 |      1.2174ms |             ::1 | GET      "/api/manager/alluser"
[GIN] 2022/10/25 - 16:21:03 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/alluser"
[GIN] 2022/10/25 - 16:21:03 | 200 |      2.2538ms |             ::1 | GET      "/api/manager/alluser"
[GIN] 2022/10/25 - 16:22:04 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 16:22:04 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 16:22:04 | 200 |      1.6032ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 16:22:04 | 200 |       8.707ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 16:22:04 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 16:22:04 | 200 |       1.009ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 16:22:04 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 16:22:04 | 200 |       2.665ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 16:24:26 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 16:24:26 | 200 |      1.5515ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 16:24:27 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 16:24:27 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 16:24:27 | 200 |      1.3082ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 16:24:27 | 200 |      1.0749ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 16:24:27 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 16:24:27 | 200 |      1.2315ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 16:24:27 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 16:24:27 | 200 |      5.6663ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 16:25:07 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:25:07 | 404 |            0s |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:27:10 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 16:27:10 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 16:27:11 | 200 |     50.4549ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 16:27:11 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 16:27:11 | 200 |      1.2292ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 16:27:11 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:27:11 | 404 |            0s |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:27:14 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 16:27:14 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 16:27:14 | 200 |      1.5554ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 16:27:14 | 200 |      1.0576ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 16:27:14 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 16:27:14 | 200 |      1.0306ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 16:27:14 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 16:27:14 | 200 |      1.9433ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 16:27:15 | 404 |            0s |             ::1 | GET      "/api/manager/all/user"
