[GIN] 2022/10/25 - 10:55:35 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 10:55:35 | 200 |      1.5469ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 10:55:35 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 10:55:35 | 404 |            0s |             ::1 | GET      "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 10:55:40 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 10:55:40 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 10:56:10 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 10:56:10 | 200 |      1.5099ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 10:56:19 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 10:56:19 | 200 |      1.2167ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 10:56:23 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 10:56:23 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 10:58:34 | 204 |       886.6µs |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 10:58:34 | 200 |      1.4129ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 10:58:34 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 10:58:34 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 10:58:38 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 10:58:38 | 404 |            0s |             ::1 | GET      "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 10:58:40 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 10:58:40 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 10:59:59 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 10:59:59 | 200 |      1.1393ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 10:59:59 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 10:59:59 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 11:00:04 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:00:04 | 404 |            0s |             ::1 | GET      "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:00:06 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 11:00:06 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 11:00:09 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 11:01:06 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 11:01:06 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 11:02:49 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:02:49 | 200 |      1.8575ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:02:49 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:02:49 | 404 |            0s |             ::1 | GET      "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:03:02 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:03:02 | 200 |      1.3832ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:03:03 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:03:03 | 404 |            0s |             ::1 | GET      "/vue-element-admin/transaction/list"
