[GIN] 2022/10/26 - 16:03:17 | 200 |      3.0029ms |             ::1 | GET      "/api/sensor/recent/temperature/7"
[GIN] 2022/10/26 - 16:04:01 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/26 - 16:04:01 | 200 |      1.8894ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/26 - 16:04:02 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/temperature/7"
[GIN] 2022/10/26 - 16:04:02 | 200 |      2.8967ms |             ::1 | GET      "/api/sensor/recent/temperature/7"
[GIN] 2022/10/26 - 16:04:04 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/temperature"
[GIN] 2022/10/26 - 16:04:04 | 200 |      3.4077ms |             ::1 | GET      "/api/sensor/total/temperature"
[GIN] 2022/10/26 - 16:04:07 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/temperature/7"
[GIN] 2022/10/26 - 16:04:07 | 200 |      1.8929ms |             ::1 | GET      "/api/sensor/recent/temperature/7"
[GIN] 2022/10/26 - 16:04:12 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/temperature/7"
[GIN] 2022/10/26 - 16:04:12 | 200 |      2.3885ms |             ::1 | GET      "/api/sensor/recent/temperature/7"
[GIN] 2022/10/26 - 16:04:17 | 200 |      3.3399ms |             ::1 | GET      "/api/sensor/recent/temperature/7"
[GIN] 2022/10/26 - 16:04:22 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/temperature"
[GIN] 2022/10/26 - 16:04:22 | 200 |      2.4776ms |             ::1 | GET      "/api/sensor/total/temperature"
[GIN] 2022/10/26 - 16:04:22 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/temperature/7"
[GIN] 2022/10/26 - 16:04:22 | 200 |      2.5492ms |             ::1 | GET      "/api/sensor/recent/temperature/7"
[GIN] 2022/10/26 - 16:04:42 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/temperature"
[GIN] 2022/10/26 - 16:04:42 | 200 |      3.0539ms |             ::1 | GET      "/api/sensor/total/temperature"
[GIN] 2022/10/26 - 16:05:01 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/temperature/7"
[GIN] 2022/10/26 - 16:05:01 | 200 |      4.4397ms |             ::1 | GET      "/api/sensor/recent/temperature/7"
[GIN] 2022/10/26 - 16:05:11 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/temperature"
[GIN] 2022/10/26 - 16:05:11 | 200 |       5.925ms |             ::1 | GET      "/api/sensor/total/temperature"
