[GIN] 2022/10/20 - 12:41:31 | 200 |       563.7µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:41:34 | 200 |      1.5194ms |    172.20.21.91 | DELETE   "/api/book/delete"
[GIN] 2022/10/20 - 12:41:34 | 200 |      1.1862ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:41:38 | 200 |      1.6932ms |    172.20.21.91 | DELETE   "/api/book/delete"
[GIN] 2022/10/20 - 12:41:38 | 200 |      1.2185ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:55:50 | 200 |     54.1062ms |    172.20.21.91 | POST     "/api/auth/login"
[GIN] 2022/10/20 - 12:55:55 | 200 |      1.2912ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:06 | 200 |      2.9962ms |    172.20.21.91 | POST     "/api/book/create"
[GIN] 2022/10/20 - 12:56:06 | 200 |      1.6478ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:11 | 200 |     10.9383ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:11 | 200 |      1.0598ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:14 | 200 |     10.5412ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:14 | 200 |       841.7µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:15 | 200 |     10.0428ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:15 | 200 |      1.1139ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:15 | 200 |      3.4992ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:15 | 200 |       645.5µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:16 | 200 |      9.5304ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:16 | 200 |       700.5µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:21 | 200 |      9.1838ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:21 | 200 |       1.072ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:22 | 200 |      4.1963ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:22 | 200 |       740.1µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:22 | 200 |      9.4444ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:22 | 200 |      2.0579ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:23 | 200 |        9.84ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:23 | 200 |      1.1271ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:25 | 200 |      3.8739ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:25 | 200 |      1.2781ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:33 | 200 |     10.9755ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:33 | 200 |      2.6555ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:34 | 200 |      9.4845ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:34 | 200 |       761.3µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:34 | 200 |      8.2736ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:34 | 200 |      1.6531ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:34 | 200 |      3.8464ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:34 | 200 |       852.8µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:34 | 200 |      3.3148ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:34 | 200 |      1.8405ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:35 | 200 |      3.3447ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:35 | 200 |      1.3465ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:35 | 200 |      3.3069ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:35 | 200 |      1.0475ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:35 | 200 |      8.6281ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:35 | 200 |      1.6607ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:36 | 200 |      9.1757ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:36 | 200 |      1.0931ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:36 | 200 |      9.6958ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:36 | 200 |       1.458ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:36 | 200 |      9.5914ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:36 | 200 |      1.2889ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:37 | 200 |      3.9233ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:37 | 200 |      1.4956ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:37 | 200 |       9.802ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:37 | 200 |      1.4134ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 12:56:38 | 200 |      3.5812ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 12:56:38 | 200 |      1.5951ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:00:30 | 200 |     53.7256ms |    172.20.21.91 | POST     "/api/auth/login"
[GIN] 2022/10/20 - 13:00:38 | 200 |     52.8125ms |    172.20.21.91 | POST     "/api/auth/login"
[GIN] 2022/10/20 - 13:00:42 | 200 |      1.1406ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:00:49 | 200 |      5.6455ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 13:00:49 | 200 |       549.2µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:00:55 | 200 |      4.2059ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 13:00:55 | 200 |      1.1215ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:04:11 | 200 |     54.9931ms |    172.20.21.91 | POST     "/api/auth/login"
[GIN] 2022/10/20 - 13:04:15 | 200 |      1.3551ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:04:21 | 200 |       4.675ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 13:04:21 | 200 |      1.4745ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:04:22 | 200 |     10.7284ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 13:04:22 | 200 |      1.1666ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:04:23 | 200 |      8.7973ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 13:04:23 | 200 |      1.2812ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:04:24 | 200 |      9.3135ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 13:04:24 | 200 |       527.4µs |    172.20.21.91 | GET      "/api/book/all"
