[GIN] 2022/10/25 - 23:19:20 | 204 |            0s |             ::1 | OPTIONS  "/api/book/delete?isbn=12125152"
[GIN] 2022/10/25 - 23:19:20 | 200 |      9.5382ms |             ::1 | DELETE   "/api/book/delete?isbn=12125152"
[GIN] 2022/10/25 - 23:19:20 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:19:20 | 200 |      1.3601ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:19:32 | 204 |            0s |             ::1 | OPTIONS  "/api/book/delete?isbn=1241241255"
[GIN] 2022/10/25 - 23:19:32 | 200 |      5.1258ms |             ::1 | DELETE   "/api/book/delete?isbn=1241241255"
[GIN] 2022/10/25 - 23:19:32 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:19:32 | 200 |      1.2833ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:19:43 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:19:43 | 200 |      1.8075ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:19:57 | 204 |            0s |             ::1 | OPTIONS  "/api/book/create"
[GIN] 2022/10/25 - 23:19:57 | 200 |      9.4182ms |             ::1 | POST     "/api/book/create"
[GIN] 2022/10/25 - 23:19:57 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:19:57 | 200 |      1.0903ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:19:59 | 204 |            0s |             ::1 | OPTIONS  "/api/book/delete?isbn=24717259879"
[GIN] 2022/10/25 - 23:19:59 | 200 |      9.4396ms |             ::1 | DELETE   "/api/book/delete?isbn=24717259879"
[GIN] 2022/10/25 - 23:19:59 | 200 |      1.6434ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:25:05 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 23:25:05 | 200 |       825.2µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 23:25:05 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:25:05 | 200 |      1.8775ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:27:38 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 23:27:38 | 200 |      1.1188ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 23:27:38 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:27:38 | 200 |      1.6746ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:28:25 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:28:25 | 200 |      1.0013ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 23:28:37 | 204 |            0s |             ::1 | OPTIONS  "/api/book/select/isbn/123"
[GIN] 2022/10/25 - 23:28:37 | 200 |      1.7908ms |             ::1 | GET      "/api/book/select/isbn/123"
[GIN] 2022/10/25 - 23:28:43 | 204 |            0s |             ::1 | OPTIONS  "/api/book/select/isbn/1"
[GIN] 2022/10/25 - 23:28:43 | 200 |      2.6933ms |             ::1 | GET      "/api/book/select/isbn/1"
[GIN] 2022/10/25 - 23:28:46 | 204 |            0s |             ::1 | OPTIONS  "/api/book/select/isbn/3"
[GIN] 2022/10/25 - 23:28:46 | 200 |      2.1569ms |             ::1 | GET      "/api/book/select/isbn/3"
[GIN] 2022/10/25 - 23:28:48 | 204 |            0s |             ::1 | OPTIONS  "/api/book/select/isbn/4"
[GIN] 2022/10/25 - 23:28:48 | 200 |       1.519ms |             ::1 | GET      "/api/book/select/isbn/4"
[GIN] 2022/10/25 - 23:29:06 | 204 |            0s |             ::1 | OPTIONS  "/api/book/select/isbn/6"
[GIN] 2022/10/25 - 23:29:06 | 200 |      1.7403ms |             ::1 | GET      "/api/book/select/isbn/6"
[GIN] 2022/10/25 - 23:29:10 | 204 |            0s |             ::1 | OPTIONS  "/api/book/select/isbn/1"
[GIN] 2022/10/25 - 23:29:10 | 200 |      1.9255ms |             ::1 | GET      "/api/book/select/isbn/1"
