[GIN] 2022/10/25 - 14:58:11 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 14:58:11 | 200 |         1.8ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:03:22 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:03:22 | 200 |      2.1805ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:03:27 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:03:27 | 200 |      1.7961ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:03:28 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:03:28 | 200 |      2.2037ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:09:44 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:09:44 | 200 |      1.4787ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:09:45 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:09:45 | 200 |      1.3864ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:12:26 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 15:12:26 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 15:12:27 | 200 |     51.3722ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 15:12:27 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:12:27 | 200 |       734.2µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:12:27 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:12:27 | 200 |      1.6381ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:17:55 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:17:55 | 200 |      1.9641ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:21:44 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:21:44 | 200 |      1.6009ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:21:44 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:21:44 | 200 |       1.305ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:26:01 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:26:01 | 200 |      1.1352ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:26:05 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:26:05 | 200 |      1.3959ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:26:05 | 200 |      1.2589ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:26:07 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 15:26:07 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 15:26:08 | 200 |     52.1771ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 15:26:08 | 200 |      1.0014ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:26:08 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:26:08 | 200 |      1.2651ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:26:51 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:26:51 | 200 |       987.5µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:26:52 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:26:52 | 200 |       999.9µs |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:26:55 | 200 |      1.5417ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:27:36 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:27:36 | 200 |      1.4704ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:27:36 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
