[GIN] 2022/10/25 - 21:34:33 | 200 |      1.1911ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:34:35 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:34:35 | 200 |       1.594ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:34:39 | 200 |      1.4306ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:34:41 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:34:41 | 200 |       984.1µs |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:34:46 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:34:46 | 200 |      1.2147ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:34:49 | 200 |       759.1µs |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:35:17 | 204 |            0s |             ::1 | OPTIONS  "/api/book/delete"
[GIN] 2022/10/25 - 21:35:17 | 200 |      1.6206ms |             ::1 | DELETE   "/api/book/delete"
[GIN] 2022/10/25 - 21:35:21 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 21:35:21 | 200 |       995.1µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 21:35:21 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:35:21 | 200 |      1.5819ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:35:23 | 204 |            0s |             ::1 | OPTIONS  "/api/book/delete"
[GIN] 2022/10/25 - 21:35:23 | 200 |      1.6133ms |             ::1 | DELETE   "/api/book/delete"
[GIN] 2022/10/25 - 21:35:55 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:35:55 | 200 |      1.4917ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:36:09 | 204 |            0s |             ::1 | OPTIONS  "/api/book/delete"
[GIN] 2022/10/25 - 21:36:09 | 200 |      1.5842ms |             ::1 | DELETE   "/api/book/delete"
