[GIN] 2022/10/26 - 09:52:48 | 200 |      1.3367ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/26 - 09:52:50 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/26 - 09:52:50 | 200 |      1.4022ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/26 - 09:52:51 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/26 - 09:52:51 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/26 - 09:52:51 | 200 |      2.9272ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/26 - 09:52:51 | 200 |       2.298ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/26 - 09:52:51 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/26 - 09:52:51 | 200 |      3.8012ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/26 - 09:52:51 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/26 - 09:52:51 | 200 |      1.2214ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/26 - 09:52:53 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/all/non/filtrate?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 09:52:53 | 200 |      1.5137ms |             ::1 | GET      "/api/sensor/all/non/filtrate?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 09:53:15 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/all/non/filtrate?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 09:53:15 | 200 |      2.9261ms |             ::1 | GET      "/api/sensor/all/non/filtrate?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 09:55:27 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/26 - 09:55:27 | 200 |      1.5235ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/26 - 09:55:29 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/26 - 09:55:29 | 200 |       829.7µs |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/26 - 09:56:39 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/all/page?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 09:56:39 | 200 |      2.1347ms |             ::1 | GET      "/api/sensor/all/page?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 09:56:59 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/all/page?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 09:56:59 | 200 |       681.3µs |             ::1 | GET      "/api/sensor/all/page?page=1&limit=20&sort=%2Bid"
