[GIN] 2022/11/07 - 08:31:12 | 200 |      1.0845ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:31:12 | 200 |     50.2002ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/11/07 - 08:31:12 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/11/07 - 08:31:12 | 200 |      1.4045ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/11/07 - 08:31:12 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/11/07 - 08:31:12 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/11/07 - 08:31:12 | 200 |      2.2472ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/11/07 - 08:31:12 | 200 |      2.6904ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/11/07 - 08:31:12 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/11/07 - 08:31:12 | 200 |      2.8444ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/11/07 - 08:31:12 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/11/07 - 08:31:12 | 200 |      1.0597ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/11/07 - 08:31:14 | 200 |      1.0532ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:31:14 | 200 |      2.1465ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:31:17 | 200 |      1.7407ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:31:19 | 200 |      1.5018ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:31:19 | 200 |      1.1158ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:31:22 | 200 |       988.7µs |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:31:24 | 200 |      1.8093ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:31:24 | 200 |      1.5619ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:31:24 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/07 - 08:31:24 | 200 |      2.2182ms |             ::1 | GET      "/api/manager/all/user?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/07 - 08:31:27 | 200 |      1.5284ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:31:29 | 200 |      1.5458ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:31:29 | 200 |      1.1575ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:31:32 | 200 |       786.9µs |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:31:34 | 200 |      1.8283ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:31:34 | 200 |      1.6268ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:31:37 | 200 |      1.0032ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:31:39 | 200 |      2.1737ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:31:39 | 200 |      1.9701ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:31:42 | 200 |       767.2µs |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:31:43 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/07 - 08:31:43 | 200 |       786.7µs |             ::1 | GET      "/api/book/all/nondto?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/07 - 08:31:44 | 200 |      2.0802ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:31:44 | 200 |      1.1843ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:31:47 | 200 |      2.1137ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:31:49 | 200 |       1.737ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:31:49 | 200 |      1.5792ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:31:52 | 200 |      1.0027ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:31:54 | 200 |      2.0017ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:31:54 | 200 |      1.3686ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:31:57 | 200 |      1.8665ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:31:59 | 200 |      1.4872ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:31:59 | 200 |      1.9741ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:32:02 | 200 |      1.9452ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:32:04 | 200 |      1.4497ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:32:04 | 200 |      1.3128ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:32:07 | 200 |      1.9194ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:32:09 | 200 |      2.3264ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:32:09 | 200 |      1.2305ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:32:12 | 200 |      2.0039ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:32:14 | 200 |      2.3888ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:32:14 | 200 |      1.9027ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:32:17 | 200 |      2.5565ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:32:19 | 204 |       497.6µs |             ::1 | OPTIONS  "/api/book/delete?isbn=2345125521"
[GIN] 2022/11/07 - 08:32:19 | 200 |     25.4245ms |             ::1 | DELETE   "/api/book/delete?isbn=2345125521"
[GIN] 2022/11/07 - 08:32:19 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/07 - 08:32:19 | 200 |      1.7001ms |             ::1 | GET      "/api/book/all/nondto?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/07 - 08:32:19 | 200 |      1.7501ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:32:19 | 200 |       2.027ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:32:22 | 200 |      1.0431ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
