[GIN] 2022/10/25 - 16:50:39 | 200 |     51.4951ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 16:50:39 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 16:50:39 | 200 |      1.0637ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 16:50:39 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:50:39 | 200 |      1.4149ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:52:04 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/delete/user"
[GIN] 2022/10/25 - 16:52:04 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:52:04 | 200 |      1.0743ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:52:04 | 200 |      5.6774ms |             ::1 | POST     "/api/manager/delete/user"
[GIN] 2022/10/25 - 16:52:07 | 401 |      1.1568ms |             ::1 | POST     "/api/manager/delete/user"
[GIN] 2022/10/25 - 16:52:07 | 401 |      1.4782ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:53:29 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 16:53:29 | 200 |      1.1049ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 16:53:29 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:53:29 | 200 |      1.4959ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:54:20 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 16:54:20 | 200 |      1.4085ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 16:54:20 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:54:20 | 200 |      1.4871ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:55:32 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 16:55:32 | 200 |      1.5035ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 16:55:33 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:55:33 | 200 |      1.7922ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:56:21 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:56:21 | 200 |       724.3µs |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:56:44 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/delete/user"
[GIN] 2022/10/25 - 16:56:44 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:56:44 | 200 |       655.7µs |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:56:44 | 200 |     15.6982ms |             ::1 | POST     "/api/manager/delete/user"
[GIN] 2022/10/25 - 16:56:47 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 16:56:47 | 200 |       908.3µs |             ::1 | GET      "/api/auth/detail"
