[GIN] 2022/10/26 - 10:58:31 | 200 |       782.2µs |             ::1 | GET      "/api/book/all/nondto?page=1&limit=10&sort=%2Bid&isbnorname="
[GIN] 2022/10/26 - 10:58:33 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto?page=2&limit=10&sort=%2Bid&isbnorname="
[GIN] 2022/10/26 - 10:58:33 | 200 |      1.0554ms |             ::1 | GET      "/api/book/all/nondto?page=2&limit=10&sort=%2Bid&isbnorname="
[GIN] 2022/10/26 - 10:58:34 | 200 |      2.1416ms |             ::1 | GET      "/api/book/all/nondto?page=1&limit=10&sort=%2Bid&isbnorname="
[GIN] 2022/10/26 - 10:58:37 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 10:58:37 | 200 |      1.2741ms |             ::1 | GET      "/api/manager/all/user?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 10:58:39 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/26 - 10:58:39 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/26 - 10:58:39 | 200 |      2.6612ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/26 - 10:58:39 | 200 |      3.7393ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/26 - 10:58:39 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/26 - 10:58:39 | 200 |      1.5078ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/26 - 10:58:39 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/26 - 10:58:39 | 200 |       816.7µs |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/26 - 10:58:40 | 200 |      1.5672ms |             ::1 | GET      "/api/manager/all/user?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 10:59:34 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 10:59:34 | 200 |       614.5µs |             ::1 | GET      "/api/book/all/nondto?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:00:19 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/all/page?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:00:19 | 200 |      1.3988ms |             ::1 | GET      "/api/sensor/all/page?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:00:22 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:00:22 | 200 |      1.4702ms |             ::1 | GET      "/api/manager/all/user?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:00:28 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/all/page?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:00:28 | 200 |       863.6µs |             ::1 | GET      "/api/sensor/all/page?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:00:57 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:00:57 | 200 |      1.3659ms |             ::1 | GET      "/api/book/all/nondto?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:01:00 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:01:00 | 200 |      1.9673ms |             ::1 | GET      "/api/manager/all/user?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:01:01 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/all/page?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:01:01 | 200 |      1.8024ms |             ::1 | GET      "/api/sensor/all/page?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:01:04 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:01:04 | 200 |       966.9µs |             ::1 | GET      "/api/book/all/nondto?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:01:07 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:01:07 | 200 |         839µs |             ::1 | GET      "/api/manager/all/user?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:01:08 | 200 |       718.3µs |             ::1 | GET      "/api/book/all/nondto?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:05:41 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:05:41 | 200 |       850.3µs |             ::1 | GET      "/api/manager/all/user?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 11:17:13 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
