[GIN] 2022/10/26 - 09:58:52 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/all/page?page=5&limit=10&sort=%2Bid"
[GIN] 2022/10/26 - 09:58:52 | 200 |      1.8805ms |             ::1 | GET      "/api/sensor/all/page?page=5&limit=10&sort=%2Bid"
[GIN] 2022/10/26 - 09:58:54 | 200 |      2.0828ms |             ::1 | GET      "/api/sensor/all/page?page=1&limit=10&sort=%2Bid"
[GIN] 2022/10/26 - 09:58:55 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/all/page?page=2&limit=10&sort=%2Bid"
[GIN] 2022/10/26 - 09:58:55 | 200 |      1.3542ms |             ::1 | GET      "/api/sensor/all/page?page=2&limit=10&sort=%2Bid"
[GIN] 2022/10/26 - 09:58:56 | 200 |       2.231ms |             ::1 | GET      "/api/sensor/all/page?page=3&limit=10&sort=%2Bid"
[GIN] 2022/10/26 - 09:58:56 | 200 |      1.8685ms |             ::1 | GET      "/api/sensor/all/page?page=4&limit=10&sort=%2Bid"
[GIN] 2022/10/26 - 09:58:56 | 200 |      1.0248ms |             ::1 | GET      "/api/sensor/all/page?page=5&limit=10&sort=%2Bid"
[GIN] 2022/10/26 - 09:58:58 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/all/page?page=4&limit=10&sort=%2Bid"
[GIN] 2022/10/26 - 09:58:58 | 200 |      1.4433ms |             ::1 | GET      "/api/sensor/all/page?page=4&limit=10&sort=%2Bid"
[GIN] 2022/10/26 - 09:58:58 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/all/page?page=3&limit=10&sort=%2Bid"
[GIN] 2022/10/26 - 09:58:58 | 200 |       2.045ms |             ::1 | GET      "/api/sensor/all/page?page=3&limit=10&sort=%2Bid"
[GIN] 2022/10/26 - 09:58:58 | 200 |      1.3709ms |             ::1 | GET      "/api/sensor/all/page?page=2&limit=10&sort=%2Bid"
[GIN] 2022/10/26 - 09:58:58 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/all/page?page=1&limit=10&sort=%2Bid"
[GIN] 2022/10/26 - 09:58:58 | 200 |       712.2µs |             ::1 | GET      "/api/sensor/all/page?page=1&limit=10&sort=%2Bid"
[GIN] 2022/10/26 - 10:00:02 | 204 |       375.5µs |             ::1 | OPTIONS  "/api/sensor/all/page?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/26 - 10:00:02 | 200 |      1.9897ms |             ::1 | GET      "/api/sensor/all/page?page=1&limit=20&sort=%2Bid"
